TLA	lemma	URN	chapter	verse	priority	string_match	notes	forbidden_urns
C2355	ⲛⲁ	urn:cts:copticLit:ot.ruth.coptot:1		4	1	yes	approximately	
C2355	ⲛⲁ	urn:cts:copticLit:nt.luke.sahidica:9		28	2	yes	approximately	
C2355	ⲛⲁ	urn:cts:copticLit:nt.acts.sahidica:21		38	3	yes	approximately	
C2351	ⲛ (ⲁⲛ)	urn:cts:copticLit:nt.1cor.sahidica_ed:6		2	1	yes		
C2351	ⲛ (ⲁⲛ)	urn:cts:copticLit:nt.mark.sahidica_ed:6		3	2	no		
C2351	ⲛ (ⲁⲛ)	urn:cts:copticLit:psephrem.letter.budge:1-9	9	7	3	yes		
C251	ⲁϣ	urn:cts:copticLit:shenoute.abraham.monbya:42-47	46	14	1	yes	meaning 'a certain'	
C251	ⲁϣ	urn:cts:copticLit:lives.longinus_lucius.paths_ed:24-29	28		2	yes	meaning 'a certain'	
C2572	ⲛⲑⲟϥ	urn:cts:copticLit:nt.1cor.bohairic_ed:3		15	3	yes	meaning 'he'	
C2572	ⲛⲑⲟϥ	urn:cts:copticLit:lives.boh_isaac.amelineau_ed:1-19	14	8	1	yes	meaning 'he'	
C2572	ⲛⲑⲟϥ	urn:cts:copticLit:nt.mark.bohairic_ed:14		71	2	yes	meaning 'he'	
C2573	ⲛⲑⲟϥ	urn:cts:copticLit:lives.boh_isaac.amelineau_ed:1-19	4	11	1	yes	meaning 'but'	
C2573	ⲛⲑⲟϥ	urn:cts:copticLit:nt.matt.bohairic_ed:12		31	2	yes	meaning 'but'	
C2572	ⲛⲧⲟϥ	urn:cts:copticLit:lives.john_kalybites.budge:1-45	2	3	1	yes	meaning 'he'	
C2572	ⲛⲧⲟϥ	urn:cts:copticLit:misc.dormition_john.budge	21	5	2	yes	meaning 'he'	
C2572	ⲛⲧⲟϥ	urn:cts:copticLit:lives.onnophrius.budge:1-9	9	4	3	yes	meaning 'he'	
C141	ⲁⲛⲓ	urn:cts:copticLit:nt.luke.bohairic_ed:09		41	2	no		
C141	ⲁⲛⲓ	urn:cts:copticLit:ot.gen.bohairic_ed:42		34	1	no		
C141	ⲁⲛⲓ	urn:cts:copticLit:ot.gen.bohairic_ed:45		13	3	no		
